"Issue ID","Catégorie","Titre","Fichiers Affectés","Criticité","Description","Ligne Concernée","Impact","Effort Correction","Score P0"
"ARC-001","Architecture","Duplication massive de code inline","Tous les 100 outils","CRITIQUE","Chaque outil contient 50-150 lignes de script inline duplicateur","168-386 (invoice-gen), 211-449 (loan-calc)","Maintenabilité extrêmement basse","Élevé (5-10 jours)","CRITIQUE"
"ARC-002","Architecture","Absence de modularité JavaScript","Tous les 100 outils","ÉLEVÉ","Aucun composant réutilisable, chaque outil réimplémente les mêmes patterns","N/A","Difficile de partager du code, testing impossible","Élevé","P1"
"ARC-003","Architecture","Duplication HTML/CSS","Tous les 100 outils","ÉLEVÉ","Même structure répétée 100 fois avec que des variations de données","N/A","Impossible de mettre à jour 100 pages simultanément","Élevé (SSG)","P1"
"JS-001","JavaScript","Absence try-catch dans tous les outils","Tous les 100 outils","CRITIQUE","Aucune gestion d'erreur dans les scripts inline des outils","254-301, 110-134, etc","Crashes sans feedback utilisateur, division par zéro non gérée","Moyen (2 jours)","CRITIQUE"
"JS-002","JavaScript","console.log en production","main.js:10, utils.js:267","ÉLEVÉ","Statements de debug laissés en production","10, 242, 267, etc","Fuite d'infos, bruit console","Minimal (config)","P2"
"JS-003","JavaScript","Variables globales","invoice-gen:177-178, loan-calc:212-213","ÉLEVÉ","Variables globales lineCount, loanChart, amortizationData, etc","177-178, 212-213","Pollution namespace, collisions possibles, debugging difficile","Moyen (1 jour)","P1"
"JS-004","JavaScript","Fonctions trop longues","loan-calculator:254-363, 368-443","ÉLEVÉ","generateAmortizationTable 58 lignes, calculateLoan 48 lignes, generateChart 76 lignes","306-363, 254-301, 368-443","Difficile à tester, à maintenir, combinaison de responsabilités","Moyen (2 jours)","P1"
"JS-005","JavaScript","Inconsistance nommage","Tous les fichiers","MOYEN","Mélange var/const, camelCase/kebab-case pour IDs, inconsistent avec CSS","N/A","Confusion, erreurs potentielles","Minimal","P2"
"HTML-001","HTML/Accessibilité","Absence ARIA attributes","0/100 outils","CRITIQUE","Aucun attribut aria-*, aria-label, role= sur 100 outils examinés","N/A","Non conforme WCAG, inaccessible aux lecteurs d'écrans","Moyen (2-3 jours)","CRITIQUE"
"HTML-002","HTML/Sémantique","Sémantique HTML faible","Tous les outils","ÉLEVÉ","Abus de <div>, pas de <fieldset>, pas de <output>, headings non structurés","N/A","SEO faible, accessibilité faible, sémantique pauvre","Moyen (2 jours)","P1"
"HTML-003","HTML/Events","Inline event handlers","139 instances trouvées","ÉLEVÉ","139 instances de onclick= trouvées, mauvaise accessibilité clavier","206, 354, etc (dans templates)","Pas accessible au clavier, functions globales, debug difficile","Moyen (1-2 jours)","P1"
"CSS-001","CSS","Styles inline excessifs","788 instances","ÉLEVÉ","788 déclarations de style= trouvées, aucune réutilisabilité","stock-manager:146, invoice:277, etc","Maintenance difficile, augmente taille HTML, pas de cohérence","Moyen (2-3 jours)","P1"
"PERF-001","Performance","Ressources chargées 100x","Tous les outils","MOYEN","Font Awesome, Google Fonts, utils.js, main.js, CSS chargés 100 fois","N/A","Cache navigateur non exploité, taille totale augmentée inutilement","Minimal (cache)","P2"
"PERF-002","Performance","Pas de cache busting/versioning","Tous les liens CSS/JS","MOYEN","Pas de version ou hash sur assets pour cache invalidation","N/A","Utilisateurs voient code obsolète après mise à jour","Minimal (config)","P2"
"PERF-003","Performance","Main.js surchargé","Tous les outils, especial ROAS","MOYEN","Chaque outil charge main.js complet même s'il utilise 20% des fonctions","N/A","Taille page inutile, parsing JS lent","Élevé (refactor)","P2"
"MAIN-001","Maintenabilité","Pas de tests unitaires","Tous les calculs","CRITIQUE","0 fichier test détecté, aucun test pour les formules financières","N/A","Impossible valider précision, régression non détectée, risque élevé","Élevé (3-5 jours)","CRITIQUE"
"MAIN-002","Maintenabilité","Documentation JSDoc partielle","Outils individuels","MOYEN","Utils documentés, mais outils HTML ont peu de documentation","N/A","Difficile à maintenir, logique métier non expliquée","Minimal","P2"
"MAIN-003","Maintenabilité","Pas de ESLint/Prettier","Tous les fichiers JS","MOYEN","Inconsistance de style, mélange de conventions","N/A","Code review fastidieux, qualité inconsistente","Minimal (config)","P2"
"META-001","Métadonnées","Meta tags insuffisants","Tous les outils","MOYEN","Pas de og:, structured data, keywords limités","N/A","SEO faible, partage social pauvre, sémantique pauvre","Minimal (1 jour)","P3"
"SEC-001","Sécurité","Risque XSS sur innerHTML","invoice-generator:276-349, autres","MOYEN","Utilisation de innerHTML avec variables non échappées","276-349, similaire ailleurs","Injection de scripts possibles","Minimal (1 jour)","P2"
"DUP-001","Duplication","Pattern export identique","20+ outils","ÉLEVÉ","Même code d'export CSV/JSON répété dans 20 outils minimum","N/A","Maintenance difficile, bug sur un doit être fixé partout","Élevé","P1"
"DUP-002","Duplication","Pattern validation formulaire","Tous les formulaires","ÉLEVÉ","Validation input/required réimplémentée dans chaque outil","N/A","Inconsistance possibles, bug non centralisé","Moyen","P1"
